name,year,rating,genres
Avengers: Infinity War,2018,8.4 ,Action Adventure
Doctor Strange in the Multiverse of Madness,2022,7 ,Action Adventure
Black Panther,2018,7.3 ,Action Adventure
Avengers: Endgame,2019,8.4 ,Action Adventure
Deadpool 2,2018,7.7 ,Action Adventure
Thor: Ragnarok,2017,7.9 ,Action Adventure
Doctor Strange,2016,7.5 ,Action Adventure
Big Hero 6,2014,7.8 ,Action Adventure
Venom,2018,6.6 ,Action Adventure
Spider-Man: No Way Home,2021,8.3 ,Action Adventure
Spider-Man: Homecoming,2017,7.4 ,Action Adventure
Rampage,2018,6.1 ,Action Adventure
Star Wars: Episode VII - The Force Awakens,2015,7.8 ,Action Adventure
Moana,2016,7.6 ,Action Adventure
Guardians of the Galaxy Vol. 2,2017,7.6 ,Action Adventure
The Hunger Games: Mockingjay - Part 2,2015,6.5 ,Action Adventure
The Impossible,2012,7.5 ,Action Adventure
Captain Marvel,2019,6.8 ,Action Adventure
Spider-Man: Far from Home,2019,7.4 ,Action Adventure
The Revenant,2015,8 ,Action Adventure
Jumanji: Welcome to the Jungle,2017,6.9 ,Action Adventure
Ant-Man and the Wasp,2018,7 ,Action Adventure
Ready Player One,2018,7.4 ,Action Adventure
Tomb Raider,2018,6.3 ,Action Adventure
Interstellar,2014,8.6 ,Action Adventure
Fantastic Beasts and Where to Find Them,2016,7.2 ,Action Adventure
Fifty Shades Darker,2017,4.5 ,Action Drama
Black Widow,2021,6.7 ,Action Adventure
Deadpool,2016,8 ,Action Adventure
Suicide Squad,2016,5.9 ,Action Adventure
Fast & Furious Presents: Hobbs & Shaw,2019,6.5 ,Action Adventure
Spider-Man: Into the Spider-Verse,2018,8.4 ,Action Adventure
Jurassic World: Fallen Kingdom,2018,6.1 ,Action Adventure
Aquaman,2018,6.8 ,Action Adventure
Kingsman: The Golden Circle,2017,6.7 ,Action Adventure
How to Train Your Dragon: The Hidden World,2019,7.4 ,Action Adventure
Logan,2017,8.1 ,Action Drama
Wonder Woman,2017,7.4 ,Action Adventure
Rogue One: A Star Wars Story,2016,7.8 ,Action Adventure
Joker,2019,8.4 ,Action Crime
The Fate of the Furious,2017,6.6 ,Action Adventure
Transformers: The Last Knight,2017,5.2 ,Action Adventure
Justice League,2017,6.1 ,Action Adventure
Guardians of the Galaxy,2014,8 ,Action Adventure
Alita: Battle Angel,2019,7.3 ,Action Adventure
Incredibles 2,2018,7.6 ,Action Adventure
Beauty and the Beast,2017,7.1 ,Action Adventure
Pirates of the Caribbean: Dead Men Tell No Tales,2017,6.5 ,Action Adventure
John Wick: Chapter 2,2017,7.4 ,Action Crime
Aladdin,2019,6.9 ,Action Adventure
Mission: Impossible - Fallout,2018,7.7 ,Action Adventure
The Batman,2022,7.9 ,Action Crime
Zack Snyder's Justice League,2021,8 ,Action Adventure
War for the Planet of the Apes,2017,7.4 ,Action Adventure
The Avengers,2012,8 ,Action Adventure
Skyscraper,2018,5.8 ,Action Adventure
Dunkirk,2017,7.8 ,Action Drama
It,2017,7.3 ,Action Drama
The Lion King,2019,6.8 ,Action Adventure
The Boss Baby,2017,6.3 ,Action Adventure
Fantastic Beasts: The Crimes of Grindelwald,2018,6.5 ,Action Adventure
The Suicide Squad,2021,7.2 ,Action Adventure
Bohemian Rhapsody,2018,7.9 ,Action Biography
Arrival,2016,7.9 ,Drama Mystery
Coco,2017,8.4 ,Action Adventure
Mad Max: Fury Road,2015,8.1 ,Action Adventure
Fifty Shades of Grey,2015,4.1 ,Action Drama
Ex Machina,2014,7.7 ,Action Drama
Shazam!,2019,7 ,Action Adventure
F9: The Fast Saga,2021,5.2 ,Action Adventure
Fifty Shades Freed,2018,4.5 ,Action Drama
Kingsman: The Secret Service,2014,7.7 ,Action Adventure
John Wick,2014,7.4 ,Action Crime
A Quiet Place,2018,7.5 ,Action Drama
John Wick: Chapter 3 - Parabellum,2019,7.4 ,Action Crime
Pacific Rim: Uprising,2018,5.6 ,Action Adventure
No Time to Die,2021,7.3 ,Action Adventure
Godzilla vs. Kong,2021,6.3 ,Action Sci-Fi
The Equalizer 2,2018,6.7 ,Action Crime
Captain America: Civil War,2016,7.8 ,Action Adventure
Shang-Chi and the Legend of the Ten Rings,2021,7.4 ,Action Adventure
Maze Runner: The Death Cure,2018,6.2 ,Action Adventure
Bad Boys for Life,2020,6.5 ,Action Comedy
The Hobbit: The Battle of the Five Armies,2014,7.4 ,Action Adventure
Baywatch,2017,5.5 ,Action Comedy
Split,2016,7.3 ,Action Horror
Godzilla: King of the Monsters,2019,6 ,Action Adventure
Sonic the Hedgehog,2020,6.5 ,Action Adventure
Hacksaw Ridge,2016,8.1 ,Action Biography
Jumanji: The Next Level,2019,6.7 ,Action Adventure
Kong: Skull Island,2017,6.6 ,Action Adventure
Thor: The Dark World,2013,6.8 ,Action Adventure
Avengers: Age of Ultron,2015,7.3 ,Action Adventure
Captain America: The Winter Soldier,2014,7.8 ,Action Adventure
Miss Peregrine's Home for Peculiar Children,2016,6.7 ,Action Adventure
Toy Story 4,2019,7.7 ,Action Adventure
Passengers,2016,7 ,Action Adventure
Sully,2016,7.4 ,Action Biography
The Great Wall,2016,5.9 ,Action Adventure
Venom: Let There Be Carnage,2021,5.9 ,Action Adventure
The Wolf of Wall Street,2013,8.2 ,Action Biography
Frozen II,2019,6.8 ,Action Adventure
The Meg,2018,5.6 ,Action Horror
Star Wars: Episode VIII - The Last Jedi,2017,6.9 ,Action Adventure
Eternals,2021,6.3 ,Action Adventure
Assassin's Creed,2016,5.6 ,Action Adventure
Blade Runner 2049,2017,8 ,Action Drama
Despicable Me 3,2017,6.2 ,Action Adventure
Mortal Engines,2018,6.1 ,Action Adventure
Free Guy,2021,7.1 ,Action Adventure
Dune,2021,8 ,Action Adventure
Jack Reacher: Never Go Back,2016,6.1 ,Action Adventure
Game Night,2018,6.9 ,Action Adventure
Johnny English Strikes Again,2018,6.2 ,Action Adventure
The Magnificent Seven,2016,6.8 ,Action Adventure
Fantastic Beasts: The Secrets of Dumbledore,2022,6.2 ,Action Adventure
The Accountant,2016,7.3 ,Action Crime
Ocean's Eight,2018,6.3 ,Action Comedy
Hotel Transylvania 3: Summer Vacation,2018,6.3 ,Action Adventure
Insurgent,2015,6.2 ,Action Adventure
Baby Driver,2017,7.6 ,Action Crime
Jungle Cruise,2021,6.6 ,Action Adventure
Furious 7,2015,7.1 ,Action Adventure
Terminator: Dark Fate,2019,6.2 ,Action Adventure
The Lost City,2022,6.1 ,Action Adventure
Uncharted,2022,6.4 ,Action Adventure
The Hunger Games: Mockingjay - Part 1,2014,6.6 ,Action Adventure
The Foreigner,2017,7 ,Action Adventure
Glass,2019,6.6 ,Action Drama
Ghost in the Shell,2017,6.3 ,Action Adventure
The Dark Knight,2008,9 ,Action Adventure
The Mummy,2017,5.4 ,Action Adventure
xXx: Return of Xander Cage,2017,5.2 ,Action Adventure
Maleficent: Mistress of Evil,2019,6.6 ,Adventure Family
X-Men: Dark Phoenix,2019,5.7 ,Action Adventure
Wonder Woman 1984,2020,5.4 ,Action Adventure
Mortal Kombat,2021,6.1 ,Action Adventure
Birds of Prey,2020,6 ,Action Adventure
The Matrix Resurrections,2021,5.7 ,Action Sci-Fi
Captain America: The First Avenger,2011,6.9 ,Action Adventure
Iron Man 3,2013,7.1 ,Action Adventure
Creed,2015,7.6 ,Action Drama
Bloodshot,2020,5.7 ,Action Adventure
Inferno,2016,6.2 ,Action Adventure
Cars 3,2017,6.7 ,Action Adventure
Harry Potter and the Sorcerer's Stone,2001,7.6 ,Action Adventure
Avatar,2009,7.8 ,Action Adventure
Smallfoot,2018,6.6 ,Action Adventure
Inception,2010,8.8 ,Action Adventure
Harry Potter and the Chamber of Secrets,2002,7.4 ,Action Adventure
Sicario: Day of the Soldado,2018,7.1 ,Action Adventure
Jurassic World Dominion,2022,5.7 ,Action Adventure
Raya and the Last Dragon,2021,7.3 ,Action Adventure
Ralph Breaks the Internet,2018,7 ,Action Adventure
The King's Man,2021,6.3 ,Action Adventure
Iron Man,2008,7.9 ,Action Adventure
Solo: A Star Wars Story,2018,6.9 ,Action Adventure
Morbius,2022,5.2 ,Action Adventure
Storks,2016,6.8 ,Action Adventure
Thor,2011,7 ,Action Adventure
Harry Potter and the Deathly Hallows: Part 1,2010,7.7 ,Action Adventure
Bumblebee,2018,6.7 ,Action Adventure
Harry Potter and the Deathly Hallows: Part 2,2011,8.1 ,Action Adventure
Alpha,2018,6.6 ,Action Adventure
Gemini Man,2019,5.7 ,Action Adventure
Frozen,2013,7.4 ,Action Adventure
The Greatest Showman,2017,7.5 ,Action Biography
The Hunger Games: Catching Fire,2013,7.5 ,Action Adventure
Gone Girl,2014,8.1 ,Action Crime
King Arthur: Legend of the Sword,2017,6.7 ,Action Adventure
Deepwater Horizon,2016,7.1 ,Action Drama
A Star Is Born,2018,7.6 ,Action Drama
The Martian,2015,8 ,Action Adventure
1917,2019,8.2 ,Action Drama
American Made,2017,7.1 ,Action Biography
Den of Thieves,2018,7 ,Action Crime
The Imitation Game,2014,8 ,Action Biography
X-Men: Days of Future Past,2014,7.9 ,Action Adventure
Iron Man 2,2010,6.9 ,Action Adventure
Sonic the Hedgehog 2,2022,6.5 ,Action Adventure
Escape Room,2019,6.4 ,Action Adventure
Home,2015,6.6 ,Action Adventure
Get Out,2017,7.7 ,Action Horror
The Equalizer,2014,7.2 ,Action Crime
Harry Potter and the Goblet of Fire,2005,7.7 ,Action Adventure
Sing,2016,7.1 ,Action Animation
Knives Out,2019,7.9 ,Action Comedy
The Amazing Spider-Man 2,2014,6.6 ,Action Adventure
Mile 22,2018,6.1 ,Action Adventure
The 5th Wave,2016,5.2 ,Action Adventure
The Lord of the Rings: The Fellowship of the Ring,2001,8.8 ,Action Adventure
Trolls,2016,6.4 ,Action Adventure
Ant-Man,2015,7.3 ,Action Adventure
The Nun,2018,5.3 ,Action Horror
Ford v Ferrari,2019,8.1 ,Action Biography
[KO] Parasite,2019,8.5 ,Action Comedy
Harry Potter and the Prisoner of Azkaban,2004,7.9 ,Action Adventure
The Predator,2018,5.3 ,Action Adventure
Men in Black: International,2019,5.6 ,Action Adventure
Spectre,2015,6.8 ,Action Adventure
